1,平頭,宗教性があり、良い意味での諦めを持つ人。初心に帰る意味あり。精神世界に進んで救われる。他に土性・火性・木性を必要とする。,,不族の業,婚姻関係に欠陥を生じ、人生上で波乱・動乱が多い。結婚してから、その現象が出る。正常な結婚生活の場合、子供は出来ないか女の子ができやすい。悠久家系(長く続いている家)の最後(家系が自分の代で終わり、途絶える)。平凡な家系に生まれた場合は、子供の天折(４０才までの死)、突然死、親の突然死。集団の中に長く居れない現象が不族の業。
2,平和,男女共に中庸の人生、平凡な生き方を出来る人。忍耐力に強く、一つの事に長い事を良、短い事に難となる。木性と丙の存在が絶対に必要である。,,,
3,離郷,故郷を離れて成功する人。運が強い人。内に暗を抱えるが、動くことに華やかであり、情に厚く一方に偏る気質あり。木性が吉、金性は凶。,,,
4,香木,柔軟性があり、多面的な思考の持ち主となる。人をよく受け入れ、奉仕の性質もある。人生の上下変動が激しい。女性には色気がある。,,,
5,山野の還流,頭の回転が早く、粘り強い人。機転が利き、窮地に追い込まれると、土壇場で新しいものを見つけ出すような粘り強い人。木性を取り入れると見事な姿となる。晩年運の人。,,参籠の業,人生を平凡に過ごすと、運気は限りなく下がる(天才的な人)。周囲に理解者は無く、孤独の囚人。配偶者が離婚しない。家から出れない。自由が無い人生。心身ともに何かに捉われ身動きが出来ず、努力が周囲から理解され難い傾向が出る。男性は50代、女性は40代で精神異常になる確立が高い。20代で一度、その傾向が出る。【注】母の育て方によって発病するかが決まる。母親が思ったことと言っている事が違う、矛盾を抱えている場合、子供は直感的にそれが分り、どうして良いか分らず発病しやすい。
6,園王,庶民の王様。土着の王様。人情味のある人、運の強い人。生家に縁薄く、他家を助ける役目あり。水性と火性を吉。,,倒柱の業,単子(一人っ子)が多く、男女を問わず、運が強い。無欲が特色で、出世欲がなく、人生を淡々と過ごすと吉。親の代は富貴。それを継承すると本人は苦しい。実家を破産、大黒柱を倒すと本人は伸びる。
7,離太白,六親に縁なし。名誉名声には恵まれる。金性と土性を吉。,,,
8,夏の宝玉,自尊心が強いがそれが内に籠り、時の流れに順応していく。人を観察する能力に優れ、結果的に敵が少ない人生となる。自らの心が満足できない。常に水性に触れる必要あり。,,一人業の業,未婚、独身で財運を得て、結婚すると崩壊する。家系の恩恵大で成功は財(禄分)で名誉は無し(官分)。男性は結婚に失敗しやすく、数回の結婚暦で運気(財運)上昇。女性は夫との離別か夫の死後、一気に運(財運)が上昇するが、再婚すると運気が下がる。辛丑の方が年齢と共に業の力が強くなる。辛未は速攻で鮮明に現れる。全部自分一人でやってしまわなければならない業。社長は北の部屋に入る。北の席に座る事で改良できる。
9,淵水,頭が良く智恵があるが、出るのが遅い人。子供時代に思考力の良さが直に引き出されない。人生の長距離選手型で物事の終了時に良し。心情は理解されることが少ないが、人を良く育てる。木性(鳳閣・調舒)と火性(禄存・司禄)を吉とする。,,,
10,老路,世渡り上手な人。人間関係では巧みであり、摩擦が少ない、人に不快感を与えない人。金性・火性が吉。を吉とする。,,倒異の業,自分と異質なものを倒す、業の中でも特に厄介な業とされている。本人が男性の場合、息子の嫁を倒すか、嫁の逃亡、死亡、事故死を引き起こす。本人が女性の場合、息子の嫁を追い出してしまうが、男性程は強く出ない。本人が社長の場合、社員の妻の病死、事故死、禍が発生。外から来た異性を倒す業。自分自身の家庭運は良いが、子供の結婚相手などに不運が生じやすい。
11,進気の木,日殺＝高貴な人。孤独な樹木。周囲を期待せず耐えるに強い。縁者が少なく、動くこと大。独立業向き。木性と火性を吉。金性を避けること。,平均的な生活をすると異常性が強くなる。平均外の生活をすることで、異常性が現れにくくなる。平均外の生活とは、結婚をしないで独身を通す、子供の居ない家庭、結婚しても現実能力の無い夫婦、夫婦で蓄積なし、海外で生活を続ける等。,,
12,玄木,雑草のようなたくましさを所有し、いくら倒れても再び起き上がる質を持っている。ただし、人生何処かで苦しみ多い人で、持病を抱えやすい。日殺＝高貴な人。土性と火性を吉とする。,平均的な生活をすると異常性が強くなる。平均外の生活をすることで、異常性が現れにくくなる。平均外の生活とは、結婚をしないで独身を通す、子供の居ない家庭、結婚しても現実能力の無い夫婦、夫婦で蓄積なし、海外で生活を続ける等。,,
13,六秀日,最大のアンバランスの完成美・完全美。女性が所有すると美人となり、男性に頼って生きていける。気の荒い気質を所有し、裏表が無い人。聡明な人。壬と木性を吉とする。,,,
14,冬灯,芸術家の星。創作能力に優れ、音楽・詩・絵画等の活動に特に発揮。しつこさと感性を所有。自分自身に対して厳しいさを課し、律する人。木性と金性を必要。,,徳攻の業,先祖の徳が強すぎ、徳が攻めてきて(人が寄って来て)「慇懃無礼」に感じる。周囲から好感を持たれ、大勢にかつがれて、運を上げるが心に虚しさが残る。男性の場合、女性の情に弱い。人生の後半で別宅を所有。特に日干にあると愛人を持ってしまう。
15,春岳,創始者。初代運所有。親の家系、事業等を継承する人ではない。,,,
16,春の田園,全ての始まりを司る。強い火性を吉。,,,
17,春金神,豪放磊落、自分だけの人生を進む人。ざっくばらんな性格で人生を我慢することなく、楽しく過ごす。火性が吉。,,傷体の業,人生を平凡に過ごすと、運気は限りなく下がる。いじめ、大怪我、障害、荒行等で身体に傷が残ってしまう時に運が伸びる。自殺未遂で運が伸びる(先祖に事故死または自殺者がいる)。
18,貴座,気位が高い人。上品なこと、上品なムードを好む。水性を急務とする。,特に異常性を発揮する。先祖の運気の弱い家系から生まれやすい。「蔑みの花嫁」(嫁ぎ先から蔑まされる、結婚に歪みがでる)との意味があり女性が所有すると辛い干支。経済的に恵まれると知的となり、正常となり上品な生活となる。経済的に低いレベルであると庶民的となり、異常性も現れやすくなる。,,
19,禄馬同郷,多成多敗の人生。ただし、全体良好の宿命。水性と金性を吉とする。,特に異常性を発揮する。夢の星といわれている(精神の異常性)。霊感能力もあり、また「戦場の花嫁」(いつも喧嘩や忙しさに追われる)とも言われる干支。女性が所有すると辛く苦しい干支。,,
20,庫里,名人芸、職人芸。一業にのみ能力を発揮。変化を恐れず、変化を好む人生。金性を吉とする。,,,
